ID,Name,Age,Nationality,Overall,Potential,Club,ValueInMillions,WageInThousands,Special,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,WorkRate,JerseyNumber,Joined,ContractValidUntil,HeightInInches,WeightInPounds,ReleaseClause,Jumping,Strength,SprintSpeed,Agility,Balance,Vision,Dribbling,BallControl
172879,Sokratis,30,Greece,84,84,Arsenal,23,140,1797,Right,3,2,2,Medium/ High,19,"Jul 2, 2018",2021,6.1,187,43.7,86,86,73,60,64,45,58,58
167628,S. Ruffier,31,France,84,84,AS Saint-Étienne,19,41,1254,Right,3,3,1,Medium/ Medium,16,"Jul 11, 2011",2021,6.2,205,36.1,72,76,50,51,55,49,12,15
167397,Falcao,32,Colombia,84,84,AS Monaco,25,115,2026,Right,3,4,3,High/ Medium,9,"Jul 1, 2013",2020,5.1,159,47.5,91,75,66,76,75,70,75,82
163587,K. Schmeichel,31,Denmark,84,84,Leicester City,19,78,1351,Right,2,3,1,Medium/ Medium,1,"Jun 1, 2011",2023,6.2,196,36.1,60,64,60,62,47,59,12,40
157481,Raúl Albiol,32,Spain,84,84,Napoli,18,88,1765,Right,3,3,2,Low/ High,33,"Jul 21, 2013",2021,6.3,181,30.6,77,82,53,53,56,57,59,71
143076,A. Gómez,30,Argentina,84,84,Atalanta,30,53,2049,Right,3,4,4,High/ Medium,10,"Sep 2, 2014",2022,5.5,150,51,70,48,86,92,94,85,89,87
137186,A. Barzagli,37,Italy,84,84,Juventus,4.2,95,1740,Right,3,3,2,Low/ High,15,"Jan 1, 2011",2019,6.2,192,6.9,81,83,77,52,64,62,64,65
20775,Quaresma,34,Portugal,84,84,Beşiktaş JK,15.5,80,1988,Right,3,4,5,High/ Low,7,"Jul 22, 2015",2020,5.9,148,29.5,63,55,82,91,84,84,89,88
9014,A. Robben,34,Netherlands,84,84,FC Bayern München,15.5,110,2044,Left,4,2,4,High/ Low,10,"Aug 28, 2009",2019,5.11,176,25.6,60,67,76,87,90,80,89,88
231443,O. Dembélé,21,France,83,92,FC Barcelona,40,155,1993,Left,3,5,4,High/ Low,11,"Aug 28, 2017",2022,5.1,148,90,59,46,92,90,85,84,90,83
230666,Gabriel Jesus,21,Brazil,83,92,Manchester City,41,130,2051,Right,2,3,4,High/ High,33,"Aug 3, 2016",2023,5.9,161,84.1,77,68,85,92,91,77,86,85
230481,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,28,51,2095,Right,1,4,4,High/ Medium,7,"Jan 1, 2018",2021,5.1,165,50.4,64,70,87,85,76,83,85,83
230375,Josué Chiamulera,26,Brazil,83,83,Grêmio,22.5,43,1894,Right,1,3,2,Medium/ Medium,4,"Jan 1, 2018",2021,6.1,176,40.5,69,73,78,77,68,42,56,70
230294,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,28.5,60,1921,Right,1,3,4,High/ Low,9,"Jan 1, 2018",2021,6.2,183,54.2,84,87,83,55,55,58,75,74
225850,P. Kimpembe,22,France,83,89,Paris Saint-Germain,30.5,82,1899,Left,2,3,3,High/ High,3,"Jul 1, 2015",2023,6.2,176,62.5,77,84,78,74,65,60,58,78
220971,N. Keïta,23,Guinea,83,88,Liverpool,34,120,2082,Right,2,4,4,High/ Medium,8,"Jul 1, 2018",2023,5.8,141,67.2,53,58,60,89,90,81,88,88
219683,C. Tolisso,23,France,83,88,FC Bayern München,34,85,2207,Right,2,3,3,High/ Medium,24,"Jul 1, 2017",2022,5.11,179,58.7,90,77,66,75,74,80,77,81
213565,T. Lemar,22,France,83,89,Atlético Madrid,35.5,64,2173,Left,3,2,4,High/ Medium,8,"Jul 1, 2018",2023,5.7,137,79.9,71,63,84,87,86,85,85,86
213345,K. Coman,22,France,83,87,FC Bayern München,34,85,1918,Right,2,3,5,Medium/ Low,29,"Aug 30, 2015",2023,5.1,157,58.7,75,61,93,87,84,75,88,83
213331,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,29.5,67,1673,Right,2,4,2,Medium/ Medium,20,"Jul 16, 2015",2023,6.5,214,52.4,72,93,77,48,44,61,55,64
212523,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,36.5,18,2142,Left,2,4,4,High/ Medium,24,,"Dec 31, 2018",6.3,176,,58,72,76,76,65,81,82,84
212188,T. Werner,22,Germany,83,87,RB Leipzig,34.5,70,1967,Right,3,4,3,High/ Medium,9,"Jul 1, 2016",2020,5.11,165,61.2,78,59,93,81,76,61,83,84
210008,A. Rabiot,23,France,83,87,Paris Saint-Germain,33,91,2184,Left,2,3,3,High/ Medium,25,"Jul 1, 2012",2019,6.4,176,63.5,73,80,74,79,72,80,79,83
209658,L. Goretzka,23,Germany,83,88,FC Bayern München,34,85,2203,Right,3,4,3,High/ High,14,"Jul 1, 2018",2022,6.2,174,58.7,67,70,79,76,70,82,81,83
208808,Q. Promes,26,Netherlands,83,84,Sevilla FC,30.5,28,2056,Right,2,4,5,High/ Low,9,"Aug 31, 2018",2023,5.9,159,66.3,82,61,91,87,79,81,84,82
208670,H. Ziyech,25,Morocco,83,86,Ajax,32.5,28,2098,Left,3,2,4,High/ High,22,"Aug 30, 2016",2021,5.11,143,47.9,38,59,74,85,78,88,83,83
208618,Lucas Vázquez,27,Spain,83,83,Real Madrid,27,205,2048,Right,2,4,4,High/ High,17,"Jul 2, 2015",2021,5.8,154,55.4,68,57,79,79,84,83,82,83
208418,Y. Carrasco,24,Belgium,83,86,Dalian YiFang FC,33,20,2015,Right,3,4,4,High/ Medium,10,"Feb 26, 2018",2021,5.11,161,73.4,68,59,87,88,71,71,88,87
208093,Gerard Moreno,26,Spain,83,85,Villarreal CF,32,53,1967,Left,1,4,4,High/ Medium,7,"Jul 2, 2018",2023,5.11,170,69.6,72,74,80,70,69,58,78,81
207863,Felipe,29,Brazil,83,83,FC Porto,20,22,1788,Right,3,3,2,Medium/ High,28,"Jul 1, 2016",2021,6.3,190,40,90,86,67,52,57,50,57,62
207410,M. Kovačić,24,Croatia,83,89,Chelsea,35,165,2115,Right,3,4,4,High/ High,17,,"Jun 30, 2019",5.9,172,,63,65,74,81,85,88,88,89
206585,Kepa,23,Spain,83,91,Chelsea,28.5,84,1223,Right,1,4,1,Medium/ Medium,13,"Aug 8, 2018",2025,6.1,187,58.4,71,51,33,41,39,55,10,16
206545,Manu Trigueros,26,Spain,83,84,Villarreal CF,30,49,2121,Right,2,4,4,Medium/ Medium,14,"Jul 1, 2011",2022,5.1,165,65.3,77,63,65,76,72,84,80,83
206113,S. Gnabry,22,Germany,83,88,FC Bayern München,34.5,85,2041,Right,2,4,4,High/ Medium,6,"Jul 1, 2017",2020,5.9,165,59.5,64,68,90,87,88,74,87,83
204935,J. Pickford,24,England,83,88,Everton,25,78,1435,Left,1,4,1,Medium/ Medium,1,"Jun 15, 2017",2024,6.1,170,49.4,72,70,44,55,55,68,14,40
204639,S. Savić,27,Montenegro,83,86,Atlético Madrid,26,67,1696,Right,2,3,2,Medium/ High,15,"Jul 20, 2015",2020,6.2,174,55.3,87,77,61,61,49,41,47,68
203574,J. Stones,24,England,83,87,Manchester City,28.5,125,1858,Right,2,4,3,High/ Medium,5,"Aug 9, 2016",2022,6.2,154,54.9,75,77,71,61,59,67,69,80
202651,Suso,24,Spain,83,86,Milan,33,115,1959,Left,3,3,4,High/ Medium,11,"Jan 17, 2015",2022,5.9,154,58.6,50,56,77,86,84,84,88,89
202166,J. Draxler,24,Germany,83,86,Paris Saint-Germain,32.5,91,2112,Right,3,5,4,Medium/ Medium,7,"Jan 3, 2017",2021,6.2,170,62.6,75,66,77,80,75,84,88,89
201995,Felipe Anderson,25,Brazil,83,85,West Ham United,31.5,110,2042,Right,3,4,4,High/ Medium,8,"Jul 15, 2018",2022,5.9,154,62.2,38,53,89,89,88,79,90,88
200949,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,31,115,2075,Right,3,3,4,High/ Medium,27,"Jan 31, 2018",2023,5.9,154,59.7,77,59,90,94,90,74,88,81
200888,Danilo Pereira,26,Portugal,83,86,FC Porto,27,21,2028,Right,3,3,3,Medium/ High,22,"Jul 2, 2015",2022,6.2,183,56,67,89,68,58,60,73,76,78
200724,Nacho Fernández,28,Spain,83,85,Real Madrid,24.5,180,1855,Right,2,4,2,Medium/ High,12,"Aug 1, 2010",2021,5.11,168,52.1,81,79,79,60,68,53,55,78
200316,T. Horn,25,Germany,83,87,1. FC Köln,24,25,1261,Left,2,3,1,Medium/ Medium,1,"Jul 1, 2011",2023,6.4,198,37.8,64,67,51,50,31,55,20,22
199914,Allan,27,Brazil,83,83,Napoli,26.5,87,2157,Right,2,3,4,Medium/ High,5,"Jul 22, 2015",2023,5.9,163,45.1,70,77,74,82,80,79,82,80
199845,F. Acerbi,30,Italy,83,83,Lazio,19,64,1849,Left,2,3,3,Medium/ Medium,13,"Jul 11, 2018",2023,6.4,194,32.3,68,83,55,33,35,65,65,72
199564,Sergi Roberto,26,Spain,83,86,FC Barcelona,26.5,170,2106,Right,3,3,4,High/ High,20,"Jul 1, 2013",2022,5.1,150,56.3,47,69,79,69,74,83,78,83
198329,Rodrigo,27,Spain,83,84,Valencia CF,30.5,57,2060,Left,2,3,4,High/ Medium,9,"Dec 3, 2014",2022,6,170,66.3,78,72,91,84,77,74,82,82
197965,Pizzi,28,Portugal,83,83,SL Benfica,25.5,22,2149,Right,3,4,3,High/ Medium,21,"Jul 30, 2013",2022,5.1,159,51,67,59,73,77,77,85,80,82
195365,K. Kampl,27,Slovenia,83,83,RB Leipzig,26.5,74,2076,Right,2,4,3,High/ High,44,"Aug 31, 2017",2021,5.1,148,45.1,67,47,71,91,80,82,86,84
194404,Neto,28,Brazil,83,84,Valencia CF,21,41,1295,Right,2,2,1,Medium/ Medium,13,"Jul 7, 2017",2021,6.3,185,45.7,80,63,49,59,49,42,19,24
193698,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,21,42,1222,Right,2,1,1,Medium/ Medium,1,"Jul 1, 2014",2021,6.2,181,37.3,73,69,51,45,43,41,19,17
193474,I. Gueye,28,Senegal,83,83,Everton,21,125,2055,Right,2,3,3,Medium/ High,17,"Aug 3, 2016",2022,5.9,146,39.9,87,70,72,80,80,67,75,79
192883,H. Mkhitaryan,29,Armenia,83,83,Arsenal,25.5,145,2100,Right,3,5,4,Medium/ Medium,7,"Jan 22, 2018",2021,5.1,165,48.5,69,62,78,87,85,84,84,86
192638,Marcos Alonso,27,Spain,83,84,Chelsea,24,130,2201,Left,2,3,3,High/ Low,3,"Aug 31, 2016",2023,6.2,192,46.2,71,76,76,64,58,69,79,83
192593,D. Subašić,33,Croatia,83,83,AS Monaco,13,70,1284,Right,3,2,1,Medium/ Medium,1,"Jan 24, 2012",2020,6.3,185,24.7,75,80,54,42,37,52,11,19
190547,K. Glik,30,Poland,83,83,AS Monaco,19,86,1582,Right,3,2,2,Low/ Medium,15,"Jul 6, 2016",2021,6.3,176,36.1,81,90,52,34,51,23,51,59
189712,K. Strootman,28,Netherlands,83,83,Olympique de Marseille,21,66,2139,Left,3,3,3,Medium/ High,16,"Aug 28, 2018",2023,6.1,176,39.9,53,81,66,65,68,79,75,84
189068,B. Dost,29,Netherlands,83,83,Sporting CP,26,26,1793,Right,3,3,2,Medium/ Medium,28,"Aug 28, 2016",2021,6.5,196,52,51,92,54,32,32,68,68,74
188152,Oscar,26,Brazil,83,84,Shanghai SIPG FC,30.5,29,2022,Right,3,3,4,Medium/ Medium,8,"Jan 1, 2017",2020,5.1,146,69.4,64,38,72,86,80,83,78,84
186627,M. Balotelli,27,Italy,83,83,OGC Nice,27.5,55,1914,Right,4,4,4,Medium/ Low,9,"Aug 31, 2016",2019,6.2,194,52.3,74,86,82,71,50,74,81,85
185221,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,19,63,2025,Left,3,3,3,Medium/ High,19,"Jul 4, 2017",2021,6.2,172,36.1,76,81,64,65,62,69,68,73
184942,Giuliano,28,Brazil,83,83,Al Nassr,26,64,2073,Right,2,3,4,High/ Medium,77,"Aug 20, 2018",2021,5.8,150,44.2,61,74,79,85,85,80,84,84
179944,David Luiz,31,Brazil,83,83,Chelsea,17.5,130,2074,Right,4,3,3,Medium/ Medium,30,"Aug 31, 2016",2019,6.2,190,32.4,78,79,62,69,56,69,66,79
179783,R. Fährmann,29,Germany,83,84,FC Schalke 04,20,38,1179,Right,2,1,1,Medium/ Medium,1,"Jul 1, 2011",2022,6.6,216,35.5,72,79,47,39,36,42,15,24
178088,Juan Mata,30,Spain,83,83,Manchester United,24.5,160,1984,Left,3,3,4,Medium/ Medium,8,"Jan 25, 2014",2019,5.7,139,45.3,70,37,62,84,89,85,82,88
178086,Adán,31,Spain,83,83,Atlético Madrid,15.5,55,1299,Left,2,2,1,Medium/ Medium,1,"Jul 10, 2018",2020,6.3,203,31.8,71,77,54,55,51,42,12,15
178005,Rui Patrício,30,Portugal,83,83,Wolverhampton Wanderers,16.5,74,1352,Left,3,2,1,Medium/ Medium,1,"Jun 18, 2018",2022,6.3,185,31.4,79,77,57,61,54,64,20,23
177683,Y. Sommer,29,Switzerland,83,84,Borussia Mönchengladbach,20,35,1299,Right,3,4,1,Medium/ Medium,1,"Jul 1, 2014",2021,6,174,35.5,73,68,54,55,58,58,15,25
177610,Javi Martínez,29,Spain,83,83,FC Bayern München,20,94,1948,Right,3,3,2,Medium/ Medium,8,"Aug 29, 2012",2021,6.4,190,33,85,84,53,53,48,75,60,74
177457,L. Bender,29,Germany,83,83,Bayer 04 Leverkusen,20,82,2049,Right,3,3,2,High/ High,8,"Aug 18, 2009",2021,6.1,179,34,77,76,67,65,63,76,72,75
176266,Lucas Leiva,31,Brazil,83,83,Lazio,17.5,64,2095,Right,3,3,3,Medium/ High,6,"Jul 18, 2017",2020,5.1,172,29.8,82,67,67,78,80,81,77,78
163705,S. Mandanda,33,France,83,83,Olympique de Marseille,13,51,1218,Right,3,3,1,Medium/ Medium,16,"Jul 11, 2017",2020,6.1,181,24.7,74,61,43,52,36,55,15,17
162895,Cesc Fàbregas,31,Spain,83,83,Chelsea,22,140,2040,Right,4,3,3,High/ Medium,4,"Jul 1, 2014",2019,5.1,170,40.7,63,61,54,62,75,91,79,85
162240,M. Dembélé,30,Belgium,83,83,Tottenham Hotspur,24,120,2177,Left,3,2,4,Medium/ Medium,19,"Aug 1, 2012",2019,6.1,181,44.4,75,89,72,79,76,80,89,89
156616,F. Ribéry,35,France,83,83,FC Bayern München,11.5,72,1929,Right,4,4,5,Medium/ Medium,7,"Jul 1, 2007",2019,5.7,159,19,34,60,78,84,90,84,84,87
104389,R. Jarstein,33,Norway,83,83,Hertha BSC,13,33,1191,Right,2,4,1,Medium/ Medium,1,"Jan 1, 2014",2021,6.3,181,22.1,59,70,46,35,45,37,11,23
53302,D. De Rossi,34,Italy,83,83,Roma,8,80,2101,Right,3,4,2,Medium/ High,16,"Jul 1, 2002",2019,6,183,13.6,77,81,67,64,72,71,64,77
24630,Pepe Reina,35,Spain,83,83,Milan,6,56,1299,Right,3,3,1,Medium/ Medium,25,"Jul 2, 2018",2021,6.2,203,10.2,73,72,63,50,60,65,10,23
236583,J. Pavlenka,26,Czech Republic,82,85,SV Werder Bremen,19.5,30,1060,Right,1,3,1,Medium/ Medium,1,"Jul 1, 2017",2021,6.5,179,34.6,36,68,37,39,27,25,12,19
235243,M. de Ligt,18,Netherlands,82,91,Ajax,27,11,1937,Right,2,4,2,Medium/ Medium,3,"Oct 24, 2016",2021,6.2,196,43.2,80,87,72,56,59,63,65,73
231866,Rodri,22,Spain,82,87,Atlético Madrid,29,59,2055,Right,1,3,4,Medium/ High,16,"Jul 1, 2018",2023,6.3,181,61.6,69,75,66,69,72,83,77,82
230658,Arthur,21,Brazil,82,90,FC Barcelona,32.5,125,2120,Right,1,3,4,Medium/ Medium,8,"Jul 9, 2018",2024,5.7,161,73.1,83,62,70,79,86,82,82,83
230621,G. Donnarumma,19,Italy,82,93,Milan,29,23,1278,Right,3,3,1,Medium/ Medium,22,"Jul 1, 2015",2021,6.5,198,55.1,72,72,54,64,38,50,28,28
230258,Rosberto Dourado,30,Brazil,82,82,Atlético Mineiro,16.5,46,2061,Right,1,4,2,High/ Medium,13,"Jan 1, 2018",2018,5.9,154,31.4,43,68,81,72,80,77,77,76
230225,Juiano Mestres,34,Brazil,82,82,Cruzeiro,6.5,39,2003,Right,1,3,2,High/ Medium,3,"Jan 1, 2018",2021,5.11,181,12.4,91,79,74,61,63,50,60,64
230168,Raphaelito Anjos,30,Brazil,82,82,Grêmio,14,32,1191,Right,1,2,1,Medium/ Medium,1,"Jan 1, 2018",2021,6.3,187,25.2,67,79,42,34,41,71,9,21
227055,Gelson Martins,23,Portugal,82,87,Atlético Madrid,29.5,59,2023,Right,3,3,5,High/ Medium,18,"Jul 25, 2018",2023,5.8,159,62.7,65,48,94,94,92,79,85,83
224411,Gonçalo Guedes,21,Portugal,82,86,Valencia CF,29,36,2006,Right,1,3,4,High/ Low,17,"Aug 29, 2018",2024,5.1,150,63.1,65,62,90,85,78,77,86,81
223959,L. Torreira,22,Uruguay,82,87,Arsenal,25,98,2111,Right,2,3,3,Medium/ High,14,"Jul 12, 2018",2023,5.6,141,49.4,52,66,74,83,93,74,78,81
222737,Malcom,21,Brazil,82,89,FC Barcelona,31.5,140,1984,Left,2,4,4,Medium/ Medium,14,"Jul 24, 2018",2023,5.8,163,70.9,58,64,82,92,84,83,85,85
221087,Pau López,23,Spain,82,87,Real Betis,21.5,21,1319,Left,1,3,1,Medium/ Medium,23,"Jul 4, 2018",2023,6.2,170,46.8,68,52,52,40,57,62,18,16
220814,L. Hernández,22,France,82,88,Atlético Madrid,25.5,53,1953,Left,1,3,3,Medium/ High,21,"Jul 1, 2015",2024,6,168,57.4,83,76,84,70,67,61,65,79
220440,C. Lenglet,23,France,82,88,FC Barcelona,26,135,1775,Left,1,4,2,Medium/ High,15,"Jul 12, 2018",2023,6.1,179,58.5,79,80,73,62,60,60,60,76
216354,A. Kramarić,27,Croatia,82,83,TSG 1899 Hoffenheim,26,54,2013,Right,2,4,4,Medium/ Medium,27,"Jan 16, 2015",2022,5.1,161,46.2,69,68,72,82,82,66,87,86
216267,A. Robertson,24,Scotland,82,87,Liverpool,24.5,98,2023,Left,1,2,3,High/ High,3,"Jul 21, 2017",2021,5.1,141,48.4,59,66,86,78,74,74,76,78
216194,Dani García,28,Spain,82,83,Athletic Club de Bilbao,20,33,1940,Right,2,3,3,Medium/ High,16,"Jul 2, 2018",2022,5.11,176,43.5,65,75,35,67,72,76,66,81
212404,F. Bernardeschi,24,Italy,82,87,Juventus,29.5,110,2096,Left,2,3,5,High/ High,20,"Jul 24, 2017",2022,6.1,170,50.9,49,63,83,85,79,80,86,87
212194,J. Brandt,22,Germany,82,88,Bayer 04 Leverkusen,30.5,68,1905,Right,2,4,4,Medium/ Medium,10,"Jan 1, 2014",2021,6.1,185,58,63,69,84,82,78,83,87,85
211320,D. Rugani,23,Italy,82,86,Juventus,24.5,95,1705,Right,2,3,2,Low/ Medium,15,"Feb 4, 2015",2021,6.3,185,42.3,81,79,67,59,53,50,64,65
210617,Samu Castillejo,23,Spain,82,86,Milan,29,94,1968,Left,2,2,4,Medium/ High,7,"Aug 17, 2018",2023,6,148,51.5,63,50,86,83,78,81,85,83
210514,João Cancelo,24,Portugal,82,88,Juventus,25.5,95,2174,Right,2,3,4,High/ Medium,2,"Jul 1, 2018",2023,6,163,47.2,73,66,91,78,74,74,84,83
210413,A. Romagnoli,23,Italy,82,89,Milan,26.5,84,1750,Left,2,3,2,Medium/ High,13,"Aug 11, 2015",2022,6.2,172,50.4,78,81,69,60,53,40,65,69
209989,T. Partey,25,Ghana,82,88,Atlético Madrid,25.5,59,2068,Right,1,3,3,High/ High,5,"Jul 1, 2015",2023,6.1,170,57.4,84,81,76,72,53,73,78,81
209297,Fred,25,Brazil,82,84,Manchester United,26.5,140,2180,Left,1,4,4,High/ High,17,"Jun 21, 2018",2023,5.7,141,51,83,61,79,84,87,76,79,86
208830,J. Vardy,31,England,82,82,Leicester City,20,96,2082,Right,3,3,3,High/ High,9,"May 1, 2012",2022,5.1,163,38,76,67,91,75,76,72,76,76
208596,A. Belotti,24,Italy,82,87,Torino,30,58,1962,Right,3,5,3,High/ High,9,"Aug 17, 2015",2021,5.11,159,53.3,83,84,79,79,75,61,78,75
208448,E. Forsberg,26,Sweden,82,83,RB Leipzig,26,67,1936,Right,2,4,4,Medium/ Medium,10,"Jan 7, 2015",2022,5.1,163,46.2,53,62,70,81,82,83,82,87
207494,J. Lingard,25,England,82,83,Manchester United,26.5,140,2095,Right,2,3,4,High/ High,7,"Jul 1, 2010",2021,5.9,137,51,63,53,82,86,86,82,83,83
207471,F. Vázquez,29,Argentina,82,82,Sevilla FC,21.5,27,1969,Left,2,3,4,Medium/ High,22,"Jul 16, 2016",2021,6.1,181,45.2,44,79,62,69,39,84,86,87
205678,E. Višća,28,Bosnia Herzegovina,82,82,Medipol Başakşehir FK,22.5,40,2054,Right,2,4,4,High/ Medium,7,"Aug 16, 2011",2021,5.8,139,42.8,69,58,89,93,88,73,82,82
205452,A. Rüdiger,25,Germany,82,84,Chelsea,22.5,110,1843,Right,2,3,2,Medium/ High,16,"Jul 9, 2017",2022,6.3,187,43.3,73,82,78,59,50,57,59,69
203551,A. Florenzi,27,Italy,82,83,Roma,20.5,73,2253,Right,3,3,4,High/ Medium,16,"Jul 1, 2010",2023,5.8,148,36.4,74,67,84,87,82,76,78,79
203263,H. Maguire,25,England,82,85,Leicester City,23.5,77,1853,Right,1,3,2,High/ High,6,"Jun 15, 2017",2023,6.4,220,46.4,74,89,53,52,58,60,70,76
202371,T. Meunier,26,Belgium,82,83,Paris Saint-Germain,21,87,2162,Right,2,4,3,High/ High,15,"Jul 3, 2016",2020,6.3,198,40.4,72,85,81,63,49,71,75,82
201956,S. Sané,27,Senegal,82,82,FC Schalke 04,18.5,41,1840,Right,2,3,3,Medium/ High,26,"Jul 1, 2018",2022,6.5,187,31.5,47,88,62,60,37,62,64,70
201455,G. Kondogbia,25,Central African Rep.,82,85,Valencia CF,27.5,46,2171,Left,2,2,4,High/ Medium,6,"Jul 2, 2018",2022,6.2,176,59.8,83,91,76,76,67,78,78,82
201400,Rafinha,25,Brazil,82,87,FC Barcelona,29.5,165,2091,Left,2,4,4,High/ High,12,"Jul 1, 2013",2020,5.9,157,62.7,73,66,70,80,80,81,87,84
201305,Gabriel Paulista,27,Brazil,82,83,Valencia CF,21,44,1959,Right,2,2,2,Low/ High,5,"Aug 18, 2017",2022,6.2,174,45.7,83,82,74,69,67,65,60,69
201153,Morata,25,Spain,82,85,Chelsea,28.5,135,1886,Right,3,4,3,High/ High,7,"Jul 21, 2017",2022,6.2,187,54.9,84,78,86,66,60,76,83,82
199987,J. Cillessen,29,Netherlands,82,84,FC Barcelona,18,135,1292,Right,3,3,1,Medium/ Medium,1,"Aug 25, 2016",2021,6.1,183,38.3,71,67,50,48,50,60,12,32
199451,W. Ben Yedder,27,France,82,82,Sevilla FC,23.5,28,2042,Right,2,5,4,High/ High,9,"Jul 30, 2016",2021,5.7,150,49.4,81,60,83,91,87,79,84,83
198951,C. Bakambu,27,DR Congo,82,83,Beijing Sinobo Guoan FC,26,33,2010,Right,2,4,3,Medium/ Medium,17,"Jan 17, 2018",2021,6,161,59.2,79,76,88,80,72,73,80,82
198950,Pablo Sarabia,26,Spain,82,83,Sevilla FC,26,26,2027,Left,2,4,4,High/ Medium,17,"Jul 1, 2016",2020,5.9,154,56.6,40,58,76,80,81,84,86,84
198717,W. Zaha,25,Ivory Coast,82,85,Crystal Palace,28.5,78,1930,Right,2,3,5,High/ Low,11,"Feb 2, 2015",2023,5.11,146,56.3,57,75,92,88,82,77,90,87
198706,Luis Alberto,25,Spain,82,85,Lazio,28.5,67,1941,Right,2,3,4,High/ Medium,10,"Aug 31, 2016",2022,6,163,50.6,54,67,72,79,74,87,86,88
198164,Jonathan Viera,28,Spain,82,82,Beijing Sinobo Guoan FC,22.5,31,2152,Right,2,4,4,High/ Low,23,"Feb 19, 2018",2020,5.7,141,49.5,88,67,76,89,92,84,84,82
198141,Bartra,27,Spain,82,83,Real Betis,21,32,2032,Right,3,3,3,High/ Medium,5,"Jan 30, 2018",2023,6,161,45.7,89,71,72,72,71,75,70,80
197655,S. Coates,27,Uruguay,82,83,Sporting CP,21,19,1714,Right,3,3,2,Medium/ Medium,4,"Jan 31, 2017",2022,6.5,203,43.6,54,94,64,32,30,50,64,62
195093,Willian José,26,Brazil,82,83,Real Sociedad,26.5,44,1945,Right,2,4,4,Medium/ Low,12,"Jul 31, 2016",2024,6.2,205,57.6,72,90,65,65,43,68,79,80
193525,Mário Fernandes,27,Russia,82,82,PFC CSKA Moscow,18.5,1,2102,Right,2,3,3,High/ High,6,"Jul 1, 2012",2022,6.2,176,40.7,84,75,85,79,61,73,77,79
193469,Víctor Ruiz,29,Spain,82,83,Villarreal CF,19.5,43,1830,Left,2,2,2,Medium/ Medium,6,"Jul 1, 2015",2019,6.1,172,42.4,78,87,59,56,58,56,53,71
193283,T. Delaney,26,Denmark,82,83,Borussia Dortmund,21.5,61,2211,Left,2,4,3,High/ High,8,"Jul 1, 2018",2022,6,174,38.2,91,79,78,73,74,77,73,77
192984,K. Casteels,26,Belgium,82,85,VfL Wolfsburg,19.5,46,1250,Left,2,2,1,Medium/ Medium,13,"Jan 21, 2015",2021,6.6,190,34.6,58,72,46,50,43,42,14,23
192318,M. Götze,26,Germany,82,85,Borussia Dortmund,27,67,2101,Right,4,4,4,Medium/ Medium,10,"Aug 1, 2016",2020,5.9,165,47.9,58,68,64,86,85,86,84,90
192227,S. Mustafi,26,Germany,82,84,Arsenal,22.5,115,1914,Right,3,3,2,Medium/ High,20,"Aug 30, 2016",2021,6,181,44.4,83,78,65,63,67,55,53,70
191180,J. Pastore,29,Argentina,82,82,Roma,21.5,84,2050,Right,3,4,4,High/ Medium,27,"Jul 1, 2018",2022,6.2,172,36.6,49,64,69,79,63,87,87,86
189505,Pedro,30,Spain,82,82,Chelsea,21,140,1968,Right,3,5,4,High/ High,11,"Aug 20, 2015",2020,5.7,143,38.9,66,47,74,82,80,77,84,85
189125,G. Bonaventura,28,Italy,82,82,Milan,22,115,2207,Right,3,3,4,High/ Medium,5,"Sep 1, 2014",2020,5.11,165,37.4,69,66,77,77,77,82,83,85
189117,R. Bürki,27,Switzerland,82,85,Borussia Dortmund,18.5,50,1245,Right,3,2,1,Medium/ Medium,21,"Jul 1, 2015",2021,6.2,187,32.8,74,74,54,49,52,50,12,23
188803,Taison,30,Brazil,82,82,Shakhtar Donetsk,21,1,2055,Right,2,3,4,Medium/ Medium,7,"Jan 11, 2013",2021,5.8,141,44.1,62,62,91,90,83,79,87,85
187936,S. Nzonzi,29,France,82,82,Roma,17,77,2006,Right,2,3,2,Medium/ Medium,15,"Aug 14, 2018",2022,6.5,165,28.9,75,92,55,36,31,77,72,81
187754,Marlos,30,Ukraine,82,82,Shakhtar Donetsk,21,1,2075,Left,2,4,5,Medium/ Medium,11,"Jul 4, 2014",2019,5.9,152,44.1,68,62,82,92,84,82,87,88
186561,A. Ramsey,27,Wales,82,83,Arsenal,25,130,2110,Right,3,3,3,High/ High,10,"Jun 13, 2008",2019,6,168,49.4,66,67,69,73,74,79,81,82
186345,K. Trippier,27,England,82,82,Tottenham Hotspur,18.5,99,2161,Right,2,4,3,High/ High,12,"Jun 19, 2015",2022,5.1,159,34.2,73,65,75,74,74,80,75,80
185103,A. Kolarov,32,Serbia,82,82,Roma,12.5,73,2230,Left,2,3,3,High/ Medium,11,"Jul 22, 2017",2020,6.2,183,21.3,80,77,70,63,58,77,79,76
